Months,Salary2016,Salary2017,Salary2018,Salary2019,Salary2020,Average,Pension
268,2878,3079.46,3295.0222,3525.673754,3772.470917,3310.125374,1642.802963
149,4401,4709.07,5038.7049,5391.414243,5768.81324,5061.800477,1396.681983
256,5724,6124.68,6553.4076,7012.146132,7502.996361,6583.446019,3121.041076
269,8886,9508.02,10173.5814,10885.7321,11647.73334,10220.21337,5091.180363
412,1784,1908.88,2042.5016,2185.476712,2338.460082,2051.863679,1565.495992
356,7620,8153.4,8724.138,9334.82766,9988.265596,8764.126251,5777.83138
175,9919,10613.33,11356.2631,12151.20152,13001.78562,11408.31605,3697.13946
334,2571,2750.97,2943.5379,3149.585553,3370.056542,2957.029999,1828.977814
229,3129,3348.03,3582.3921,3833.159547,4101.480715,3598.812472,1526.163067
401,4871,5211.97,5576.8079,5967.184453,6384.887365,5602.369944,4160.278421
351,8709,9318.63,9970.9341,10668.89949,11415.72245,10016.63721,6510.814185
345,9355,10009.85,10710.5395,11460.27727,12262.49667,10759.63269,6874.209773
147,3595,3846.65,4115.9155,4404.029585,4712.311656,4134.781348,1125.579367
239,8444,9035.08,9667.5356,10344.26309,11068.36151,9711.84804,4298.392003
148,3027,3238.89,3465.6123,3708.205161,3967.779522,3481.497397,954.1881754
366,8232,8808.24,9424.8168,10084.55398,10790.47275,9468.016706,6417.211323
236,7346,7860.22,8410.4354,8999.165878,9629.107489,8448.985753,3692.5197
264,7458,7980.06,8538.6642,9136.370694,9775.916643,8577.802307,4193.592239
207,5081,5436.67,5817.2369,6224.443483,6660.154527,5843.900982,2240.162043
327,1125,1203.75,1288.0125,1378.173375,1474.645511,1293.916277,783.5381901
259,1307,1398.49,1496.3843,1601.131201,1713.210385,1503.243177,720.9999683
357,8486,9080.02,9715.6214,10395.7149,11123.41494,9760.154248,6452.546419
156,9255,9902.85,10596.0495,11337.77297,12131.41707,10644.61791,3075.11184
244,6326,6768.82,7242.6374,7749.622018,8292.095559,7275.834995,3287.599516
195,1934,2069.38,2214.2366,2369.233162,2535.079483,2224.385849,803.2504455
318,8007,8567.49,9167.2143,9808.919301,10495.54365,9209.233451,5423.215254
413,5313,5684.91,6082.8537,6508.653459,6964.259201,6110.735272,4673.580865
134,9132,9771.24,10455.2268,11187.09268,11970.18916,10503.14973,2606.337155
292,9009,9639.63,10314.4041,11036.41239,11808.96125,10361.68155,5602.983356
303,9827,10514.89,11250.9323,12038.49756,12881.19239,11302.50245,6341.959708
171,908,971.56,1039.5692,1112.339044,1190.202777,1044.334204,330.7058313
155,2516,2692.12,2880.5684,3082.208188,3297.962761,2893.77187,830.6197034
338,2425,2594.75,2776.3825,2970.729275,3178.680324,2789.10842,1745.77527
126,7457,7978.99,8537.5193,9135.145651,9774.605847,8576.65216,2001.218837
336,9401,10059.07,10763.2049,11516.62924,12322.79329,10812.53949,6727.802347
404,8675,9282.25,9932.0075,10627.24803,11371.15539,9977.532182,7464.672225
289,7873,8424.11,9013.7977,9644.763539,10319.89699,9055.113645,4846.162673
391,2541,2718.87,2909.1909,3112.834263,3330.732661,2922.525565,2116.124992
196,3222,3447.54,3688.8678,3947.088546,4223.384744,3705.776218,1345.059516
157,6443,6894.01,7376.5907,7892.952049,8445.458692,7410.402288,2154.50585
206,3571,3820.97,4088.4379,4374.628553,4680.852552,4107.177801,1566.812272
203,5249,5616.43,6009.5801,6430.250707,6880.368256,6037.125813,2269.512111
367,9885,10576.95,11317.3365,12109.55006,12957.21856,11369.21102,7726.852677
342,4363,4668.41,4995.1987,5344.862609,5719.002992,5018.09486,3178.126745
337,6124,6552.68,7011.3676,7502.163332,8027.314765,7043.505139,4395.668948
369,2737,2928.59,3133.5913,3352.942691,3587.648679,3147.954534,2151.102265
243,5689,6087.23,6513.3361,6969.269627,7457.118501,6543.190846,2944.435881
120,7704,8243.28,8820.3096,9437.731272,10098.37246,8860.738667,1969.053037
179,5228,5593.96,5985.5372,6404.524804,6852.84154,6012.972709,1993.189102
364,4115,4403.05,4711.2635,5041.051945,5393.925581,4732.858205,3190.297012
352,1621,1734.47,1855.8829,1985.794703,2124.800332,1864.389587,1215.305805
368,4991,5340.37,5714.1959,6114.189613,6542.182886,5740.38768,3911.9679
228,3407,3645.49,3900.6743,4173.721501,4465.882006,3918.553561,1654.500393
287,1957,2093.99,2240.5693,2397.409151,2565.227792,2250.839249,1196.279378
434,1354,1448.78,1550.1946,1658.708222,1774.817798,1557.300124,1251.607877
185,9356,10010.92,10711.6844,11461.50231,12263.80747,10760.78284,3686.56449
208,6465,6917.55,7401.7785,7919.902995,8474.296205,7435.70554,2864.123615
187,7138,7637.66,8172.2962,8744.356934,9356.461919,8209.755011,2843.007754
266,7580,8110.6,8678.342,9285.82594,9935.833756,8718.120339,4294.4815
168,2754,2946.78,3153.0546,3373.768422,3609.932212,3167.507047,985.4466368
242,8217,8792.19,9407.6433,10066.17833,10770.81081,9450.764489,4235.342604
429,7697,8235.79,8812.2953,9429.155971,10089.19689,8852.687632,7032.968508
359,8654,9259.78,9907.9646,10601.52212,11343.62867,9953.379079,6617.153869
270,8109,8676.63,9283.9941,9933.873687,10629.24485,9326.548526,4663.274263
310,7404,7922.28,8476.8396,9070.218372,9705.133658,8515.694326,4888.639335
347,3773,4037.11,4319.7077,4622.087239,4945.633346,4339.507657,2788.535476
321,2217,2372.19,2538.2433,2715.920331,2906.034754,2549.877677,1515.760619
324,3417,3656.19,3912.1233,4185.971931,4478.989966,3930.055039,2358.033024
246,805,861.35,921.6445,986.159615,1055.190788,925.8689806,421.7847578
403,5976,6394.32,6841.9224,7320.856968,7833.316956,6873.283265,5129.505844
122,7816,8363.12,8948.5384,9574.936088,10245.18161,8989.55522,2030.973587
221,6305,6746.35,7218.5945,7723.896115,8264.568843,7251.681892,2967.817959
372,9192,9835.44,10523.9208,11260.59526,12048.83692,10572.1586,7283.042588
193,2785,2979.95,3188.5465,3411.744755,3650.566888,3203.161629,1144.833693
205,4741,5072.87,5427.9709,5807.928863,6214.483883,5452.850729,2070.063703
231,7323,7835.61,8384.1027,8970.989889,9598.959181,8422.532354,3602.972174
199,4726,5056.82,5410.7974,5789.553218,6194.821943,5435.598512,2003.118711
154,4953,5299.71,5670.6897,6067.637979,6492.372638,5696.682063,1624.609329
285,9578,10248.46,10965.8522,11733.46185,12554.80418,11016.11565,5814.061036
211,8971,9598.97,10270.8979,10989.86075,11759.15101,10317.97593,4031.653559
330,3790,4055.3,4339.171,4642.91297,4967.916878,4359.06017,2663.870104
227,4731,5062.17,5416.5219,5795.678433,6201.375923,5441.349251,2287.382
395,2924,3128.68,3347.6876,3582.025732,3832.767533,3363.032173,2459.995756
284,5402,5780.14,6184.7498,6617.682286,7080.920046,6213.098426,3267.629543
363,1284,1373.88,1470.0516,1572.955212,1683.062077,1476.789778,992.7309062
247,2242,2398.94,2566.8658,2746.546406,2938.804654,2578.631372,1179.485091
262,8832,9450.24,10111.7568,10819.57978,11576.95036,10158.10539,4928.562243
400,9569,10238.83,10955.5481,11722.43647,12543.00702,11005.76432,8152.418013
133,7948,8504.36,9099.6652,9736.641764,10418.20669,9141.37473,2251.486739
304,7236,7742.52,8284.4964,8864.411148,9484.919928,8322.469495,4685.242086
130,5994,6413.58,6862.5306,7342.907742,7856.911284,6893.985925,1659.663278
385,5325,5697.75,6096.5925,6523.353975,6979.988753,6124.537046,4366.568079
167,1433,1533.31,1640.6417,1755.486619,1878.370682,1648.1618,509.7092975
340,3955,4231.85,4528.0795,4845.045065,5184.19822,4548.834557,2864.081017
393,1303,1394.21,1491.8047,1596.231029,1707.967201,1498.642586,1090.678771
397,9161,9802.27,10488.4289,11222.61892,12008.20225,10536.50401,7746.281655
213,910,973.7,1041.859,1114.78913,1192.824369,1046.6345,412.8391638
394,9544,10212.08,10926.9256,11691.81039,12510.23712,10977.01062,8009.152195
224,8826,9443.82,10104.8874,10812.22952,11569.08558,10151.2045,4210.870015
296,2349,2513.43,2689.3701,2877.626007,3079.059827,2701.697187,1480.93031
194,4124,4412.68,4721.5676,5052.077332,5405.722745,4743.209535,1704.041944
408,6819,7296.33,7807.0731,8353.568217,8938.317992,7842.857862,5925.714829
354,4895,5237.65,5604.2855,5996.585485,6416.346469,5629.973491,3690.7604
250,3443,3684.01,3941.8907,4217.823049,4513.070662,3959.958882,1833.314297
405,5450,5831.5,6239.705,6676.48435,7143.838255,6268.305521,4701.229141
315,8103,8670.21,9277.1247,9926.523429,10621.38007,9319.64764,5436.461123
169,4015,4296.05,4596.7735,4918.547645,5262.84598,4617.843425,1445.213961
127,7244,7751.08,8293.6556,8874.211492,9495.406296,8331.670678,1959.485511
219,9292,9942.44,10638.4108,11383.09956,12179.91652,10687.17338,4334.242536
235,4156,4446.92,4758.2044,5091.278708,5447.668218,4780.014265,2080.191393
362,9413,10071.91,10776.9437,11531.32976,12338.52284,10826.34126,7257.6584
302,8762,9375.34,10031.6138,10733.82677,11485.19464,10077.59504,5635.988338
144,4109,4396.63,4704.3941,5033.701687,5386.060805,4725.957318,1260.255285
307,1231,1317.17,1409.3719,1508.027933,1613.589888,1415.831944,804.9266794
225,9471,10133.97,10843.3479,11602.38225,12414.54901,10893.04983,4538.770764
128,2994,3203.58,3427.8306,3667.778742,3924.523254,3443.542519,816.2471157
331,5098,5454.86,5836.7002,6245.269214,6682.438059,5863.453495,3594.079827
249,5597,5988.79,6408.0053,6856.565671,7336.525268,6437.377248,2968.346175
365,5559,5948.13,6364.4991,6810.014037,7286.71502,6393.671631,4321.648417
297,9310,9961.7,10659.019,11405.15033,12203.51085,10707.87604,5889.33182
379,2657,2842.99,3041.9993,3254.939251,3482.784999,3055.94271,2144.81905
176,7607,8139.49,8709.2543,9318.902101,9971.225248,8749.17433,2851.582745
182,6194,6627.58,7091.5106,7587.916342,8119.070486,7124.015486,2401.057071
162,6707,7176.49,7678.8443,8216.363401,8791.508839,7714.041308,2314.212392
153,7459,7981.13,8539.8091,9137.595737,9777.227439,8578.952455,2430.703196
226,2027,2168.89,2320.7123,2483.162161,2656.983512,2331.349595,975.7129785
290,4370,4675.9,5003.213,5353.43791,5728.178564,5026.145895,2699.226499
286,4722,5052.54,5406.2178,5784.653046,6189.578759,5430.997921,2876.417417
217,1042,1114.94,1192.9858,1276.494806,1365.849442,1198.45401,481.6009632
223,2090,2236.3,2392.841,2560.33987,2739.563661,2403.808906,992.6840483
298,9769,10452.83,11184.5281,11967.44507,12805.16622,11235.79388,6200.493658
425,9765,10448.55,11179.9485,11962.5449,12799.92304,11231.19329,8839.365087
312,7450,7971.5,8529.505,9126.57035,9765.430275,8568.601125,4950.747317
214,3504,3749.28,4011.7296,4292.550672,4593.029219,4030.117898,1597.120797
278,8581,9181.67,9824.3869,10512.09398,11247.94056,9869.418289,5080.922749
139,1675,1792.25,1917.7075,2051.947025,2195.583317,1926.497568,495.8947444
216,9455,10116.85,10825.0295,11582.78157,12393.57627,10874.64747,4349.858987
131,6127,6555.89,7014.8023,7505.838461,8031.247153,7046.955583,1709.539225
410,1032,1104.24,1181.5368,1264.244376,1352.741482,1186.952532,901.2047
426,2675,2862.25,3062.6075,3276.990025,3506.379327,3076.64537,2427.131348
121,1953,2089.71,2235.9897,2392.508979,2559.984608,2246.238657,503.3238473
159,2896,3098.72,3315.6304,3547.724528,3796.065245,3330.828035,980.7438102
407,5188,5551.16,5939.7412,6355.523084,6800.4097,5966.966797,4497.324975
332,6367,6812.69,7289.5783,7799.848781,8345.838196,7322.991055,4502.28339
125,2861,3061.27,3275.5589,3504.848023,3750.187385,3290.572862,761.7066809
406,6965,7452.55,7974.2285,8532.424495,9129.69421,8010.779441,6022.919357
204,8589,9190.23,9833.5461,10521.89433,11258.42693,9878.619471,3731.922911
328,2827,3024.89,3236.6323,3463.196561,3705.62032,3251.467836,1974.965649
257,7782,8326.74,8909.6118,9533.284626,10200.61455,8950.450195,4259.751297
172,1397,1494.79,1599.4253,1711.385071,1831.182026,1606.756479,511.7816934
322,4157,4447.99,4759.3493,5092.503751,5448.979014,4781.164413,2850.990631
416,3903,4176.21,4468.5447,4781.342829,5116.036827,4489.026871,3458.213293
398,4663,4989.41,5338.6687,5712.375509,6112.241795,5363.139201,3952.832226
260,8450,9041.5,9674.405,10351.61335,11076.22628,9718.748927,4679.397631
141,7961,8518.27,9114.5489,9752.567323,10435.24704,9156.326652,2390.818626
428,4397,4704.79,5034.1253,5386.514071,5763.570056,5057.199885,4008.299168
358,1484,1587.88,1699.0316,1817.963812,1945.221279,1706.819338,1131.558006
276,4724,5054.68,5408.5076,5787.103132,6192.200351,5433.298217,2777.019089
306,833,891.31,953.7017,1020.460819,1091.893076,958.0731191,542.9081008
234,3639,3893.73,4166.2911,4457.931477,4769.98668,4185.387851,1813.668069
272,8645,9250.15,9897.6605,10590.49674,11331.83151,9943.027748,5008.339903
291,4734,5065.38,5419.9566,5799.353562,6205.308311,5444.799695,2934.142058
361,3350,3584.5,3835.415,4103.89405,4391.166634,3852.995137,2575.798601
164,1398,1495.86,1600.5702,1712.610114,1832.492822,1607.906627,488.3271979
255,9211,9855.77,10545.6739,11283.87107,12073.74205,10594.0114,5002.727608
349,5537,5924.59,6339.3113,6783.063091,7257.877507,6368.36838,4115.852897
411,4571,4890.97,5233.3379,5599.671553,5991.648562,5257.325603,4001.408931
146,3137,3356.59,3591.5513,3842.959891,4111.967083,3608.013655,975.4999882
387,9911,10604.77,11347.1039,12141.40117,12991.29926,11399.11487,8169.365654
248,6111,6538.77,6996.4839,7486.237773,8010.274417,7028.553218,3227.928145
325,1614,1726.98,1847.8686,1977.219402,2115.62476,1856.338552,1117.240795
138,8059,8623.13,9226.7491,9872.621537,10563.70504,9269.041136,2368.754957
173,1072,1147.04,1227.3328,1313.246096,1405.173323,1232.958444,395.0033533
181,9561,10230.27,10946.3889,11712.63612,12532.52065,10996.56313,3685.885051
136,2539,2716.73,2906.9011,3110.384177,3328.111069,2920.225269,735.4641419
432,6226,6661.82,7128.1474,7627.117718,8161.015958,7160.820215,5728.656172
376,8100,8667,9273.69,9922.8483,10617.44768,9316.197196,6486.833603
145,2441,2611.87,2794.7009,2990.329963,3199.65306,2807.510785,753.8686366
258,2689,2877.23,3078.6361,3294.140627,3524.730471,3092.74744,1477.645999
389,5552,5940.64,6356.4848,6801.438736,7277.539448,6385.620597,4600.011874
280,1325,1417.75,1516.9925,1623.181975,1736.804713,1523.945838,790.194138
370,6018,6439.26,6890.0082,7372.308774,7888.370388,6921.589472,4742.570564
241,2855,3054.85,3268.6895,3497.497765,3742.322609,3283.671975,1465.490641
423,1335,1428.45,1528.4415,1635.432405,1749.912673,1535.447316,1202.767064
192,6191,6624.37,7088.0759,7584.241213,8115.138098,7120.565042,2531.756459
418,9933,10628.31,11372.2917,12168.35212,13020.13677,11424.41812,8843.345876
295,9361,10016.27,10717.4089,11467.62752,12270.36145,10766.53357,5881.717416
384,4778,5112.46,5470.3322,5853.255454,6262.983336,5495.406198,3907.844407
396,2278,2437.46,2608.0822,2790.647954,2985.993311,2620.036693,1921.360242
273,9077,9712.39,10392.2573,11119.71531,11898.09538,10439.8916,5277.945197
326,2599,2780.93,2975.5951,3183.886757,3406.75883,2989.234137,1804.61172
350,9245,9892.15,10584.6005,11325.52254,12118.30911,10633.11643,6891.834723
360,7285,7794.95,8340.5965,8924.438255,9549.148933,8378.826738,5585.884492
294,4210,4504.7,4820.029,5157.43103,5518.451202,4842.122246,2636.266556
158,2550,2728.5,2919.495,3123.85965,3342.529826,2932.876895,858.1380545
123,4433,4743.31,5075.3417,5430.615619,5810.758712,5098.605206,1161.348964
375,3934,4209.38,4504.0366,4819.319162,5156.671503,4524.681453,3142.139898
348,6511,6966.77,7454.4439,7976.254973,8534.592821,7488.612339,4825.994618
309,3826,4093.82,4380.3874,4687.014518,5015.105534,4400.46549,2518.044142
210,4877,5218.39,5583.6773,5974.534711,6392.752141,5609.27083,2181.383101
201,7576,8106.32,8673.7624,9280.925768,9930.590572,8713.519748,3243.365684
240,5020,5371.4,5747.398,6149.71586,6580.19597,5773.741966,2566.10754
308,4222,4517.54,4833.7678,5172.131546,5534.180754,4855.92402,2769.675182
163,2300,2461,2633.27,2817.5989,3014.830823,2645.339945,798.5007611
390,5422,5801.54,6207.6478,6642.183146,7107.135966,6236.101382,4503.850998
435,4566,4885.62,5227.6134,5593.546338,5985.094582,5251.574864,4230.435307
415,3543,3791.01,4056.3807,4340.327349,4644.150263,4074.973662,3131.692722
422,3298,3528.86,3775.8802,4040.191814,4323.005241,3793.187451,2964.305749
392,5691,6089.37,6515.6259,6971.719713,7459.740093,6545.491141,4751.541717
344,2549,2727.43,2918.3501,3122.634607,3341.219029,2931.726747,1867.618521
427,2540,2717.8,2908.046,3111.60922,3329.421865,2921.375417,2310.050561
124,5729,6130.03,6559.1321,7018.271347,7509.550341,6589.196758,1513.074811
143,4780,5114.6,5472.622,5855.70554,6265.604928,5497.706494,1455.874127
346,5026,5377.82,5754.2674,6157.066118,6588.060746,5780.642853,3703.893383
261,9148,9788.36,10473.5452,11206.69336,11991.1619,10521.55209,5085.416845
251,9853,10542.71,11280.6997,12070.34868,12915.27309,11332.40629,5267.470333
200,1275,1364.25,1459.7475,1561.929825,1671.264913,1466.438448,543.1253509
323,6956,7442.92,7963.9244,8521.399108,9117.897046,8000.428111,4785.441259
316,6550,7008.5,7499.095,8024.03165,8585.713866,7533.468103,4408.473927
265,9539,10206.73,10921.2011,11685.68518,12503.68314,10971.25988,5384.044202
371,2024,2165.68,2317.2776,2479.487032,2653.051124,2327.899151,1599.352935
222,3605,3857.35,4127.3645,4416.280015,4725.419616,4146.282826,1704.58294
275,5596,5987.72,6406.8604,6855.340628,7335.214472,6436.2271,3277.708245
417,4273,4572.11,4892.1577,5234.608739,5601.031351,4914.581558,3795.149092
218,880,941.6,1007.512,1078.03784,1153.500489,1012.130066,408.6006562
202,6498,6952.86,7439.5602,7960.329414,8517.552473,7473.660417,2795.702601
299,1364,1459.48,1561.6436,1670.958652,1787.925758,1568.801602,868.6512574
142,4125,4413.75,4722.7125,5053.302375,5407.033541,4744.359683,1247.59088
150,6987,7476.09,7999.4163,8559.375441,9158.531722,8036.082693,2232.245192
170,4961,5308.27,5679.8489,6077.438323,6502.859006,5705.883246,1796.296577
319,5166,5527.62,5914.5534,6328.572138,6771.572188,5941.663545,3509.982724
160,8177,8749.39,9361.8473,10017.17661,10718.37897,9404.758577,2786.595134
174,2313,2474.91,2648.1537,2833.524459,3031.871171,2660.291866,857.2051568
313,8487,9081.09,9716.7663,10396.93994,11124.72574,9761.304396,5657.941252
430,4310,4611.7,4934.519,5279.93533,5649.530803,4957.137027,3947.349855
274,4041,4323.87,4626.5409,4950.398763,5296.926676,4647.747268,2358.301391
300,3435,3675.45,3932.7315,4208.022705,4502.584294,3950.7577,2194.865389
381,9548,10216.36,10931.5052,11696.71056,12515.4803,10981.61121,7748.136801
220,9610,10282.7,11002.489,11772.66323,12596.74966,11052.92038,4503.041635
190,2708,2897.56,3100.3892,3317.416444,3549.635595,3114.600248,1095.877865
305,5656,6051.92,6475.5544,6928.843208,7413.862233,6505.235968,3674.253649
288,3061,3275.27,3504.5389,3749.856623,4012.346587,3520.602422,1877.654625
383,2965,3172.55,3394.6285,3632.252495,3886.51017,3410.188233,2418.70758
209,4565,4884.55,5226.4685,5592.321295,5983.783786,5250.424716,2032.108825
373,7493,8017.51,8578.7357,9179.247199,9821.794503,8618.05748,5952.843408
388,870,930.9,996.063,1065.78741,1140.392529,1000.628588,718.9701705
382,8293,8873.51,9494.6557,10159.2816,10870.43131,9538.175722,6747.376159
178,9888,10580.16,11320.7712,12113.22518,12961.15095,11372.66147,3748.766187
335,3784,4048.88,4332.3016,4635.562712,4960.052102,4352.159283,2699.950666
333,9698,10376.86,11103.2402,11880.46701,12712.0997,11154.13338,6878.382253
341,1235,1321.45,1413.9515,1512.928105,1618.833072,1420.432535,896.9768418
233,2344,2508.08,2683.6456,2871.500792,3072.505847,2695.946448,1163.250967
283,1497,1601.79,1713.9153,1833.889371,1962.261627,1721.77126,902.3356786
253,1799,1924.93,2059.6751,2203.852357,2358.122022,2069.115896,969.4191141
386,7724,8264.68,8843.2076,9462.232132,10124.58838,8883.741623,6350.230123
353,3472,3715.04,3975.0928,4253.349296,4551.083747,3993.313169,2610.443608
166,5525,5911.75,6325.5725,6768.362575,7242.147955,6354.566606,1953.440846
329,5254,5621.78,6015.3046,6436.375922,6886.922237,6042.876552,3681.678492
419,1620,1733.4,1854.738,1984.56966,2123.489536,1863.239439,1445.735787
198,4428,4737.96,5069.6172,5424.490404,5804.204732,5092.854467,1867.379971
183,7385,7901.95,8455.0865,9046.942555,9680.228534,8493.841518,2878.468514
238,2452,2623.64,2807.2948,3003.805436,3214.071817,2820.162411,1242.96047
281,8284,8863.88,9484.3516,10148.25621,10858.63415,9527.824392,4957.997508
279,4727,5057.89,5411.9423,5790.778261,6196.132739,5436.74866,2808.986808
132,7112,7609.84,8142.5288,8712.505816,9322.381223,8179.851168,1999.519174
301,7971,8528.97,9125.9979,9764.817753,10448.355,9167.82813,5110.215309
420,3013,3223.91,3449.5837,3691.054559,3949.428378,3465.395327,2695.307477
282,6709,7178.63,7681.1341,8218.813487,8794.130431,7716.341604,4029.64506
380,4373,4679.11,5006.6477,5357.113039,5732.110952,5029.596338,3539.345571
263,2725,2915.75,3119.8525,3338.242175,3571.919127,3134.15276,1526.448474
151,7927,8481.89,9075.6223,9710.915861,10390.67997,9117.221626,2549.445307
421,1463,1565.41,1674.9887,1792.237909,1917.694563,1682.666234,1311.856453
374,9306,9957.42,10654.4394,11400.25016,12198.26767,10703.27545,7413.00929
165,5671,6067.97,6492.7279,6947.218853,7433.524173,6522.488185,1992.982501
191,4485,4798.95,5134.8765,5494.317855,5878.920105,5158.412892,1824.549745
197,6168,6599.76,7061.7432,7556.065224,8084.98979,7094.111643,2588.037025
161,5949,6365.43,6811.0101,7287.780807,7797.925463,6842.229274,2039.997987
293,909,972.63,1040.7141,1113.564087,1191.513573,1045.484352,567.2720651
177,5626,6019.82,6441.2074,6892.091918,7374.538352,6470.731534,2120.962003
277,6424,6873.68,7354.8376,7869.676232,8420.553568,7388.54948,3790.052233
378,4521,4837.47,5176.0929,5538.419403,5926.108761,5199.818213,3639.872749
137,8522,9118.54,9756.8378,10439.81645,11170.6036,9801.559569,2486.691965
180,2352,2516.64,2692.8048,2881.301136,3082.992216,2705.14763,901.7158768
135,3623,3876.61,4147.9727,4438.330789,4749.013944,4166.985487,1041.746372
355,7123,7621.61,8155.1227,8725.981289,9336.799979,8192.502794,5385.812022
431,2345,2509.15,2684.7905,2872.725835,3073.816643,2697.096596,2152.682653
245,2728,2918.96,3123.2872,3341.917304,3575.851515,3137.603204,1423.542194
414,4315,4617.05,4940.2435,5286.060545,5656.084783,4962.887766,3804.88062
129,3327,3559.89,3809.0823,4075.718061,4361.018325,3826.541737,914.1183039
